,title,price,location,living_space,plot_area,rooms,broker,link,coordinates,latitude,longitude
47,Jan Olphert Vaillantlaan 52,1.150.000 k.k.,"Jan Olphert Vaillantlaan 52, 1086 ZA Amsterdam",208 m^2,131 m^2,8,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/huis-42615279-jan-olphert-vaillantlaan-52/,"52, Jan Olphert Vaillantlaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1086ZA, Nederland",52.3616682,4.9776886
48,Wyandottestraat 2,500.000 k.k.,"Wyandottestraat 2, 1109 BT Amsterdam",118 m^2,135 m^2,6,Vuurtoren | deMakelaars.nl - Weesp,https://www.funda.nl/koop/amsterdam/huis-42693591-wyandottestraat-2/,"2, Wyandottestraat, Driemond, Amsterdam, Noord-Holland, Nederland, 1109BT, Nederland",52.3050339,5.0150121
49,Berenstraat 7,3.600.000 k.k.,"Berenstraat 7, 1016 GG Amsterdam",279 m^2,195 m^2,9,Heeren Makelaars,https://www.funda.nl/koop/amsterdam/huis-42516841-berenstraat-7/,"7, Berenstraat, Grachtengordel, Centrum, Amsterdam, Noord-Holland, Nederland, 1016GG, Nederland",52.3703213,4.8839125
50,Pieter Langendijkstraat 45 HS,500.000 k.k.,"Pieter Langendijkstraat 45 HS, 1054 XZ Amsterdam",57 m^2,,2,KRK Makelaars Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42753142-pieter-langendijkstraat-45-hs/,,,
51,Veemkade 294,1.075.000 k.k.,"Veemkade 294, 1019 HD Amsterdam",189 m^2,,3,KRK Makelaars Amsterdam,https://www.funda.nl/koop/amsterdam/appartement-42753008-veemkade-294/,"294, Veemkade, Oostelijk Havengebied, Amsterdam, Noord-Holland, Nederland, 1019HD, Nederland",52.3767638,4.9230945
52,Pijnackerstraat 14 -hs,400.000 k.k.,"Pijnackerstraat 14 -hs, 1072 JT Amsterdam",54 m^2,,2,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42753494-pijnackerstraat-14-hs/,"Pijnackerstraat, Nieuwe Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072JT, Nederland",52.3499086,4.8891872
53,Leo Hornstraat 79,625.000 k.k.,"Leo Hornstraat 79, 1095 MN Amsterdam",101 m^2,,4,Boelen Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42752899-leo-hornstraat-79/,"79, Leo Hornstraat, Sportheldenbuurt, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1095MN, Nederland",52.3708562,4.9687731
54,Theodoor van Hoytemastraat 38,550.000 k.k.,"Theodoor van Hoytemastraat 38, 1062 CG Amsterdam",78 m^2,,4,MAKELAAR BERT,https://www.funda.nl/koop/amsterdam/appartement-42752677-theodoor-van-hoytemastraat-38/,"38, Theodoor van Hoytemastraat, Overtoomse Veld, Amsterdam, Noord-Holland, Nederland, 1062CG, Nederland",52.3606045,4.8384596
55,Oudeschans 62 E,1.500.000 k.k.,"Oudeschans 62 E, 1011 LD Amsterdam",176 m^2,,5,B.V. Deltam Makelaardij o.g.,https://www.funda.nl/koop/amsterdam/appartement-42752532-oudeschans-62-e/,"Oudeschans, Nieuwmarktbuurt, Centrum, Amsterdam, Noord-Holland, Nederland, 1011LC, Nederland",52.3710296,4.9031737
56,Galileïplantsoen 29,875.000 k.k.,"Galileïplantsoen 29, 1098 LV Amsterdam",119 m^2,,5,Sikkes Makelaardij o.g.,https://www.funda.nl/koop/amsterdam/appartement-42752522-galileiplantsoen-29/,"29, Galileïplantsoen, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098LV, Nederland",52.353344,4.9376211
57,Lodewijk Boisotstraat 8 II,400.000 k.k.,"Lodewijk Boisotstraat 8 II, 1057 ZN Amsterdam",51 m^2,,3,MAKELAAR BERT,https://www.funda.nl/koop/amsterdam/appartement-42752519-lodewijk-boisotstraat-8-ii/,"Lodewijk Boisotstraat, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1057ZM, Nederland",52.3692995,4.8591339
58,IJburglaan 902,540.000 k.k.,"IJburglaan 902, 1087 GE Amsterdam",108 m^2,,3,TWM Makelaardij Amsterdam/Purmerend,https://www.funda.nl/koop/amsterdam/appartement-42752412-ijburglaan-902/,"902, IJburglaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1087GE, Nederland",52.3539768,4.9969293
59,Sint Willibrordusstraat 9 2,925.000 k.k.,"Sint Willibrordusstraat 9 2, 1074 XH Amsterdam",128 m^2,,3,Yourhome Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42751256-sint-willibrordusstraat-9-2/,"9-2, Sint Willibrordusstraat, Nieuwe Pijp, Amsterdam, Noord-Holland, Nederland, 1074XH, Nederland",52.3550929,4.9047529
60,Vaartstraat 48 H,560.000 k.k.,"Vaartstraat 48 H, 1075 RR Amsterdam",59 m^2,,3,Hoen Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42751262-vaartstraat-48-h/,"48-H, Vaartstraat, Schinkelbuurt, Amsterdam, Noord-Holland, Nederland, 1075RR, Nederland",52.3504209,4.8547981
61,Van Nijenrodeweg 502,245.000 k.k.,"Van Nijenrodeweg 502, 1082 HN Amsterdam",34 m^2,,2,Makelaarsgroep o.g. Commissaris,https://www.funda.nl/koop/amsterdam/appartement-42751098-van-nijenrodeweg-502/,"502, Van Nijenrodeweg, Buitenveldert, Amsterdam, Noord-Holland, Nederland, 1082HN, Nederland",52.327528,4.8749356
62,Leksmondhof 208,290.000 k.k.,"Leksmondhof 208, 1108 EW Amsterdam",72 m^2,,3,URBAN MAKELAARS AMSTERDAM,https://www.funda.nl/koop/amsterdam/appartement-42751093-leksmondhof-208/,"208, Leksmondhof, Nellestein, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1108EW, Nederland",52.3094131,4.9801355
63,Akoleienstraat 8 1,795.000 k.k.,"Akoleienstraat 8 1, 1016 LN Amsterdam",105 m^2,,4,Makelaarsland,https://www.funda.nl/koop/amsterdam/appartement-42751484-akoleienstraat-8-1/,"8-1, Akoleienstraat, Jordaan, Centrum, Amsterdam, Noord-Holland, Nederland, 1016LN, Nederland",52.3730918,4.8781394
64,Frans van Mierisstraat 27 1,800.000 k.k.,"Frans van Mierisstraat 27 1, 1071 RJ Amsterdam",112 m^2,,4,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/appartement-42750323-frans-van-mierisstraat-27-1/,"27-1, Frans van Mierisstraat, Museumkwartier, Zuid, Amsterdam, Noord-Holland, Nederland, 1071RJ, Nederland",52.3547639,4.8840009
65,Wagenaarstraat 12 -IV,500.000 k.k.,"Wagenaarstraat 12 -IV, 1093 CP Amsterdam",67 m^2,,3,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42750060-wagenaarstraat-12-iv/,"Wagenaarstraat, Dapperbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1093CZ, Nederland",52.3632461,4.9271312
66,Jan Tooropstraat 125,700.000 k.k.,"Jan Tooropstraat 125, 1061 AE Amsterdam",122 m^2,,5,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/appartement-42750064-jan-tooropstraat-125/,"125, Jan Tooropstraat, Overtoomse Veld, Amsterdam, Noord-Holland, Nederland, 1061AE, Nederland",52.3662287,4.8360728
67,Westlandgracht 47 huis,725.000 k.k.,"Westlandgracht 47 huis, 1058 TL Amsterdam",77 m^2,,3,Esther Otten,https://www.funda.nl/koop/amsterdam/appartement-42750926-westlandgracht-47-huis/,,,
68,Lumièrestraat 64,450.000 k.k.,"Lumièrestraat 64, 1087 KH Amsterdam",87 m^2,,3,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42750851-lumierestraat-64/,"64, Lumièrestraat, IJburg, Amsterdam, Noord-Holland, Nederland, 1087KH, Nederland",52.3547055,5.0026327
69,Plantage Muidergracht 188,540.000 k.k.,"Plantage Muidergracht 188, 1018 TW Amsterdam",76 m^2,,3,Forte Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42750623-plantage-muidergracht-188/,"188, Plantage Muidergracht, Plantage, Centrum, Amsterdam, Noord-Holland, Nederland, 1018TW, Nederland",52.3636929,4.9160204
70,Ruysdaelkade 93 2,295.000 k.k.,"Ruysdaelkade 93 2, 1072 AM Amsterdam",29 m^2,,,Makelaarskantoor BEN,https://www.funda.nl/koop/amsterdam/appartement-42759276-ruysdaelkade-93-2/,"93-2, Ruysdaelkade, de Pijp, Zuid, Amsterdam, Noord-Holland, Nederland, 1072AM, Nederland",52.355649,4.8871176
71,Faas Wilkesstraat 319,595.000 k.k.,"Faas Wilkesstraat 319, 1095 MD Amsterdam",80 m^2,,3,RET Makelaars - De makelaar van Amsterdam-Oost!,https://www.funda.nl/koop/amsterdam/appartement-42759064-faas-wilkesstraat-319/,"319, Faas Wilkesstraat, Sportheldenbuurt, Schellingwoude, Amsterdam, Noord-Holland, Nederland, 1095MD, Nederland",52.372689,4.9693556
72,Omval 11 + PP,550.000 k.k.,"Omval 11 + PP, 1096 AA Amsterdam",81 m^2,,3,Francis Helmig Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42759906-omval-11-pp/,,,
73,Mendelhof 10 I,425.000 k.k.,"Mendelhof 10 I, 1098 TP Amsterdam",68 m^2,,3,Pappie & Van der Zee Makelaars,https://www.funda.nl/koop/amsterdam/appartement-42759525-mendelhof-10-i/,"Mendelhof, Middenmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098TP, Nederland",52.3515541,4.9450495
74,Admiraal De Ruijterweg 102 2,475.000 k.k.,"Admiraal De Ruijterweg 102 2, 1056 GP Amsterdam",64 m^2,,3,Amstelland Makelaars B.V.,https://www.funda.nl/koop/amsterdam/appartement-88112905-admiraal-de-ruijterweg-102-2/,"102-2, Admiraal de Ruijterweg, De Baarsjes, West, Amsterdam, Noord-Holland, Nederland, 1056GP, Nederland",52.3725067,4.8594529
75,Windroosplein 60,350.000 k.k.,"Windroosplein 60, 1018 ZW Amsterdam",44 m^2,,2,De Makelaers BV,https://www.funda.nl/koop/amsterdam/appartement-42758241-windroosplein-60/,"60, Windroosplein, Oostelijke Eilanden, Centrum, Amsterdam, Noord-Holland, Nederland, 1018ZW, Nederland",52.3726414,4.9251837
76,Zwanebloemlaan 74,525.000 k.k.,"Zwanebloemlaan 74, 1087 EP Amsterdam",88 m^2,,4,Hallie & Van Klooster Makelaardij,https://www.funda.nl/koop/amsterdam/appartement-42758277-zwanebloemlaan-74/,"74, Zwanebloemlaan, IJburg, Amsterdam, Noord-Holland, Nederland, 1087EP, Nederland",52.3553363,4.9922201
